10	361538	..........53.8.24..74...19.............................41...92..68.9.41..........	0	UNIT
10	326762	21.....78.........38..2..16...........................59..6..87.........42.....61	0	ALL
10	279276	8..2.9..6..25.71.......................4.3.......................79.52..4..7.2..9	0	UNIT
10	209193	8..2.9..6..25.71.......................4.3.......................79.52..4..7.2..9	0	ALL
10	203638	3.......6....5.....1.....5.93.....12.........12.....93.7.....4.....8....2.......7	0	UNIT
10	177067	..........53.8.24..74...19.............................41...92..68.9.41..........	0	ALL
10	150342	...6..2.....2...7....4.9..8.8...........6...........6.5..9.2....3...6.....7..4...	0	LOCATION
10	122273	....................9...1..4.2...6.7....4....7.6...2.4..........435.197..........	0	LOCATION
10	112484	1.7...2.4..................3.2.7.9.1.........9.1.5.3.2..................4.5...6.7	0	UNIT
10	112273	3.......6....5.....1.....5.93.....12.........12.....93.7.....4.....8....2.......7	0	ALL
10	100146	....5..9...2....1.9.........47.2.......6...3........7.........81.3.97.....4......	0	LOCATION
10	87879	....5..9...2....1.9.........47.2.......6...3........7.........81.3.97.....4......	0	ALL
10	78714	....5..9...2....1.9.........47.2.......6...3........7.........81.3.97.....4......	0	UNIT
10	77211	..8...4..1.3.8.9.65.......7...........................6.......98.9.1.7.4..7...6..	0	UNIT
10	69218	1.7...2.4..................3.2.7.9.1.........9.1.5.3.2..................4.5...6.7	0	ALL
10	61229	..17.89..3..9.6..5....................5...1....................2..6.9..4..48.72..	0	UNIT
10	47780	.9.7.3.4...2...5.....1.5..............3...2..............5.7.....1...3...2.3.1.6.	0	LOCATION
10	44071	.4.....7..29.7.34...3...6...............................5...7...98.2.46..7.....3.	0	UNIT
10	36320	9..7.8..2.........35.....79...8.7...2..6.1..3...4.2.....................8.......6	0	UNIT
10	31563	7.......6..3...4..4.......3.........9..3.7..4....6........3.....17...28..9.....6.	0	LOCATION
10	29775	....3.......4.53.1..3.....6........71.......26........4.....8..7.12.6.......4....	0	UNIT
10	29262	29.....43..........73...91...........2.....8...........56...13..........13.....65	0	ALL
10	28227	.17.6.98..5.....4...3...7...............................5...8...3.....1..71.4.39.	0	UNIT
10	27535	..17.89..3..9.6..5....................5...1....................2..6.9..4..48.72..	0	ALL
10	26825	21.....78.........38..2..16...........................59..6..87.........42.....61	0	LOCATION
10	25110	.........1.7...6.8.68...71.84.....26.........5.1...9.3.....................7.2...	0	LOCATION
10	24817	..17.89..3..9.6..5....................5...1....................2..6.9..4..48.72..	0	LOCATION
10	23600	.4.....7..29.7.34...3...6...............................5...7...98.2.46..7.....3.	0	ALL
10	22885	..............534...8.69............54......8.....2.39...........193.....94.....6	0	LOCATION
10	22685	526...894..........84...26...................8.......24.1...6.8.........2.......3	0	UNIT
10	22382	.9.7.3.4...2...5.....1.5..............3...2..............5.7.....1...3...2.3.1.6.	0	ALL
10	20451	17..9..258.......6.3.....1.............................9.....5.6.......131..8..62	0	UNIT
10	20374	29.....43..........73...91...........2.....8...........56...13..........13.....65	0	UNIT
10	18482	.2.....6....5.8.............72...64..5.....3..64...27.............2.9....4.....8.	0	LOCATION
10	17724	....3.......4.53.1..3.....6........71.......26........4.....8..7.12.6.......4....	0	ALL
10	17001	17..9..258.......6.3.....1.............................9.....5.6.......131..8..62	0	ALL
10	16388	.3....2..29..7..........3..5...1.......92..3.1...........6...2..2....74....2.....	0	LOCATION
10	16294	.17.6.98..5.....4...3...7...............................5...8...3.....1..71.4.39.	0	ALL
10	15621	.9.4.3.2............6...5...6.....8.....5.....1.....7...2...3............8.6.7.1.	0	LOCATION
10	15444	.7..5..9......................7.6.............1.4.3.5...43.52....96.73...........	0	LOCATION
10	15206	....................4...1...4.....8...5...4...9.....7..52...64.4.6...2.5....5....	0	LOCATION
10	14843	526...894..........84...26...................8.......24.1...6.8.........2.......3	0	ALL
10	13280	35.....79.4.....5.............1.7...9.......2...5.8.............9.....1.63.....84	0	UNIT
10	13078	.4.....2..........6..7.5..99..3.8..6..................7.......8.1..2..6.8.......4	0	LOCATION
10	12057	35.....79.4.....5.............1.7...9.......2...5.8.............9.....1.63.....84	0	ALL
10	11630	49.....85...1.7................8......9.1.8......4................3.1...37.....26	0	UNIT
10	11579	3..8.1..7..1...9.....5.3...............3.8......1.5.....2...1..6.......4..9...3..	0	LOCATION
10	11474	3.......6....5.....1.....5.93.....12.........12.....93.7.....4.....8....2.......7	0	LOCATION
10	10733	39.....52..................579...861.........631...529..................12.....98	0	UNIT
10	10272	.7.....5....6.7....934.271.............................592.618....7.4....6.....7.	0	UNIT
10	9727	..........53.8.24..74...19.............................41...92..68.9.41..........	0	LOCATION
10	9377	42..9..75.57...42...............................................84...75.23..7..16	0	LOCATION
10	9085	2.......66.......88.......9...149...............678...4.......77.......45.......1	0	UNIT
10	9012	69.....4874.....19............9.5...............4.1............32.....5445.....23	0	LOCATION
10	7576	.2.8.4.1..347.962...............................................764.815..8.9.7.4.	0	UNIT
10	7332	..........5..2..3..48...91....9.1...............8.4....35...79..2..7..6..........	0	UNIT
10	7220	..........3.....1..1..8..9.12.....67.........67.....21.5..6..8..9.....4..........	0	LOCATION
10	7203	4.......63.6...1.2..2.5.9...............................3.1.6..2.4...8.76.......4	0	UNIT
10	7144	...........72.85..3.......6..2...6......4......3...2..2.......4..97.13...........	0	LOCATION
10	7016	9..7.8..2.........35.....79...8.7...2..6.1..3...4.2.....................8.......6	0	ALL
10	6813	..26.81......5.....5.....4...3...5.....7.9.....6...4...6.....9.....9......58.62..	0	LOCATION
10	6614	4.......86.......7..........2.....6..........8.9...3.12.3...7.5.........75.....23	0	UNIT
10	6539	.7.....5....6.7....934.271.............................592.618....7.4....6.....7.	0	ALL
10	6493	3..2.8..9...5.7.1..8....3...............................4....2..9.7.5...6..8.2..5	0	UNIT
10	6041	4.......6...........93.64....6...5......1......7...8....52.89...........6.......1	0	LOCATION
10	6004	..........46...58..85...64.4.......5.........9.......4.78...29..94...35..........	0	UNIT
10	5856	..........5..2..3..48...91....9.1...............8.4....35...79..2..7..6..........	0	ALL
10	5479	.17....................42...6....895.2.....7.985....6...83....................61.	0	ALL
