Stream,Year,Month,Counter,Symmetry,#Solutions,Minutes,Difficulty
1,2014,2,33,diagonal,1,18.133086,1
1,2014,2,34,mirror-broken,1,9.807378,1
1,2014,2,35,none,1,11.790270,1
1,2014,2,36,classic-broken,1,29.680106,1
1,2014,2,37,mirror,1,2.886128,0
1,2014,2,38,diagonal,1,5.233844,0
1,2014,2,39,diagonal-broken,2,8.351109,0
1,2014,2,40,diagonal-broken,1,12.963832,1
1,2014,2,41,mirror-broken,1,4.500302,0
1,2014,2,42,classic,1,3.329160,0
1,2014,2,43,mirror-broken,1,4.724828,0
1,2014,2,44,mirror-broken,1,5.653678,0
1,2014,2,45,rotational,1,7.760878,1
1,2014,2,46,diagonal-broken,1,13.510613,1
1,2014,2,47,rotational-broken,1,168.874031,1
1,2014,2,48,mirror-broken,1,11.056632,1
1,2014,2,49,classic-broken,1,16.148102,1
1,2014,2,50,rotational-broken,1,4.020319,0
1,2014,2,51,none,1,6.728031,0
1,2014,2,52,blockwise-broken,1,5.591515,0
1,2014,2,53,diagonal-broken,1,10.808834,0
1,2014,2,54,blockwise-broken,1,23.532462,1
1,2014,2,55,blockwise-broken,1,3.461558,0
1,2014,2,56,double mirror-broken,1,18.036829,1
1,2014,2,57,mirror-broken,1,15.705000,1
1,2014,2,58,blockwise-broken,1,5.536973,0
1,2014,2,59,none,1,7.216480,0
1,2014,2,60,blockwise,1,2.952851,0
1,2014,2,61,blockwise-broken,1,10.395399,1
1,2014,2,62,none,1,13.445577,1
1,2014,2,63,classic-broken,1,4.298820,0
1,2014,2,64,rotational-broken,1,8.792348,1
1,2014,2,65,classic-broken,1,16.010192,1
1,2014,2,66,diagonal-broken,1,14.756313,1
1,2014,2,67,mirror-broken,1,6.804068,0
1,2014,2,68,blockwise-broken,1,20.565131,1
1,2014,2,69,classic-broken,3,6.845944,0
1,2014,2,70,classic-broken,2,26.578947,1
1,2014,2,71,mirror-broken,1,14.715241,1
1,2014,2,72,none,1,5.051463,0
1,2014,2,73,classic-broken,1,5.073003,0
1,2014,2,74,mirror-broken,1,5.887901,0
1,2014,2,75,classic-broken,1,16.701267,1
1,2014,2,76,rotational-broken,1,3.992238,0
1,2014,2,77,classic-broken,1,15.878559,1
1,2014,2,78,blockwise-broken,1,11.366786,1
1,2014,2,79,classic-broken,1,4.760743,0
1,2014,2,80,blockwise-broken,1,17.539206,1
1,2014,2,81,rotational-broken,1,16.295512,1
1,2014,2,82,mirror-broken,1,4.025355,0
1,2014,2,83,blockwise-broken,1,4.863772,0
1,2014,2,84,classic,1,4.362847,0
1,2014,2,85,classic-broken,1,9.573340,1
1,2014,2,86,classic-broken,1,3.168573,0
1,2014,2,87,classic-broken,2,6.438716,0
1,2014,2,88,rotational-broken,1,25.642515,1
1,2014,2,89,mirror-broken,1,3.304601,0
1,2014,2,90,classic-broken,3,6.166701,0
1,2014,2,91,diagonal-broken,1,4.117500,0
1,2014,2,92,none,1,5.414035,0
1,2014,2,93,classic-broken,1,4.216499,0
1,2014,2,94,blockwise-broken,1,12.791156,1
1,2014,2,95,blockwise-broken,1,13.738420,1
1,2014,2,96,none,1,76.850065,1
1,2014,2,97,diagonal-broken,1,12.609786,1
1,2014,2,98,classic-broken,2,6.863282,0
1,2014,2,99,classic-broken,1,3.523136,0
1,2014,2,100,diagonal-broken,1,24.373545,1
1,2014,3,1,blockwise-broken,1,26.833635,1
1,2014,3,2,rotational-broken,1,16.515942,1
1,2014,3,3,mirror-broken,1,23.776309,1
1,2014,3,4,diagonal-broken,1,15.175767,1
1,2014,3,5,double mirror,1,1.662456,0
1,2014,3,6,classic-broken,1,42.347803,1
1,2014,3,7,classic,1,3.555477,0
1,2014,3,8,mirror-broken,1,15.013160,1
1,2014,3,9,double mirror,1,2.693738,0
1,2014,3,10,classic-broken,1,5.077526,0
1,2014,3,11,diagonal-broken,1,7.124146,0
1,2014,3,12,diagonal-broken,1,32.019776,1
1,2014,3,13,blockwise-broken,3,8.718727,0
1,2014,3,14,none,1,4.854942,0
1,2014,3,15,rotational-broken,1,4.578450,0
1,2014,3,16,none,1,7.278952,0
1,2014,3,17,none,1,4.504826,0
1,2014,3,18,rotational-broken,1,28.695462,1
1,2014,3,19,classic-broken,1,14.249410,1
1,2014,3,20,blockwise-broken,1,27.957603,1
1,2014,3,21,classic-broken,1,19.187686,1
1,2014,3,22,classic-broken,1,11.668077,1
1,2014,3,23,double mirror,1,1.891147,0
1,2014,3,24,blockwise-broken,1,20.985481,1
1,2014,3,25,classic-broken,1,6.252387,0
1,2014,3,26,classic-broken,2,12.777721,1
1,2014,3,27,rotational-broken,1,4.878673,0
1,2014,3,28,mirror-broken,1,4.306821,0
1,2014,3,29,classic-broken,1,16.256226,1
1,2014,3,30,diagonal-broken,1,14.974797,1
1,2014,3,31,mirror-broken,1,5.243735,0
1,2014,3,32,mirror-broken,1,5.984174,0
1,2014,3,33,rotational-broken,1,6.506443,0
1,2014,3,34,double mirror,1,2.993421,0
1,2014,3,35,mirror-broken,1,6.337469,0
1,2014,3,36,mirror,1,2.950438,0
1,2014,3,37,classic-broken,1,9.070701,0
1,2014,3,38,classic,1,5.042941,0
1,2014,3,39,blockwise-broken,1,27.366553,1
1,2014,3,40,none,1,25.764678,1
1,2014,3,41,rotational-broken,1,3.778719,0
1,2014,3,42,none,1,7.621423,1
1,2014,3,43,blockwise,1,3.281897,0
1,2014,3,44,mirror-broken,3,6.711494,0
1,2014,3,45,rotational-broken,1,35.712084,1
1,2014,3,46,blockwise-broken,1,13.801956,1
1,2014,3,47,blockwise-broken,1,6.315935,0
1,2014,3,48,none,1,17.605566,1
1,2014,3,49,classic-broken,1,15.975961,1
1,2014,3,50,none,1,6.218602,0
1,2014,3,51,none,1,16.784005,1
1,2014,3,52,classic-broken,1,13.790023,1
1,2014,3,53,none,2,7.455299,0
1,2014,3,54,double mirror-broken,1,12.344974,1
1,2014,3,55,classic-broken,1,5.266532,0
1,2014,3,56,mirror-broken,1,4.732541,0
1,2014,3,57,blockwise-broken,1,3.898985,0
1,2014,3,58,mirror-broken,1,3.061255,0
1,2014,3,59,classic-broken,1,8.381079,0
1,2014,3,60,classic-broken,1,5.856215,0
1,2014,3,61,classic-broken,1,4.785360,0
1,2014,3,62,blockwise-broken,1,3.944867,0
1,2014,3,63,blockwise,1,3.075676,0
1,2014,3,64,diagonal-broken,2,11.664150,1
1,2014,3,65,none,1,4.349942,0
1,2014,3,66,diagonal-broken,1,5.393837,0
1,2014,3,67,none,3,15.120463,1
1,2014,3,68,rotational-broken,1,4.918331,0
1,2014,3,69,diagonal-broken,1,6.780581,0
1,2014,3,70,mirror-broken,1,3.533758,0
1,2014,3,71,classic-broken,1,11.701675,1
1,2014,3,72,none,1,4.714804,0
1,2014,3,73,mirror-broken,2,6.079206,0
1,2014,3,74,none,1,8.163735,1
1,2014,3,75,classic-broken,1,17.185060,1
1,2014,3,76,rotational-broken,1,2.988592,0
1,2014,3,77,diagonal-broken,1,15.537917,1
1,2014,3,78,classic-broken,1,12.411114,1
1,2014,3,79,classic-broken,1,6.074360,0
1,2014,3,80,mirror-broken,1,4.848433,0
1,2014,3,81,mirror-broken,1,18.077559,1
