Puzzle,#Runs,Fraction
1:1:2014-1:50,47,0.985867
1:1:2014-1:50,48,0.986077
1:1:2014-1:50,49,0.988669
1:1:2014-1:50,50,0.984117
1:1:2014-1:50,51,0.979613
1:1:2014-1:50,52,0.975238
1:1:2014-1:50,53,0.978827
1:1:2014-1:50,54,0.980391
1:1:2014-1:50,55,0.980664
1:1:2014-1:50,56,0.982000
1:1:2014-1:50,57,0.984614
1:1:2014-1:50,58,0.985028
1:1:2014-1:50,59,0.982305
1:1:2014-1:50,60,0.983067
1:1:2014-1:50,61,0.979353
1:1:2014-1:50,62,0.975688
1:1:2014-1:50,63,0.973634
1:1:2014-1:50,64,0.975472
1:1:2014-1:50,65,0.975753
1:1:2014-1:50,66,0.975553
1:1:2014-1:50,67,0.972284
1:1:2014-1:50,68,0.977956
1:1:2014-1:50,69,0.979778
1:1:2014-1:50,70,0.983356
1:1:2014-1:50,71,0.980885
1:1:2014-1:50,72,0.988062
1:1:2014-1:50,73,0.988376
1:1:2014-1:50,74,0.989828
1:1:2014-1:50,75,0.986806
1:1:2014-1:50,76,0.986433
1:1:2014-1:50,77,0.992082
1:1:2014-1:50,78,0.994712
1:1:2014-1:50,79,0.991641
1:1:2014-1:50,80,0.988785
1:1:2014-1:50,81,0.986415
1:1:2014-1:50,82,0.987374
1:1:2014-1:50,83,0.986646
1:1:2014-1:50,84,0.987280
1:1:2014-1:50,85,0.988599
1:1:2014-1:50,86,0.989168
1:1:2014-1:50,87,0.992056
1:1:2014-1:50,88,0.993377
1:1:2014-1:50,89,0.991321
1:1:2014-1:50,90,0.989213
1:1:2014-1:50,91,0.990899
1:1:2014-1:50,92,0.991390
1:1:2014-1:50,93,0.988817
1:1:2014-1:50,94,0.987039
1:1:2014-1:50,95,0.989599
1:1:2014-1:50,96,0.995906
1:1:2014-1:50,97,0.998785
1:1:2014-1:50,98,0.998717
1:1:2014-1:50,99,0.996250
1:1:2014-1:50,100,1.00000
1:1:2014-1:51,1,0.928889
1:1:2014-1:51,2,0.989451
1:1:2014-1:51,3,1.02713
1:1:2014-1:51,4,1.02245
1:1:2014-1:51,5,1.00662
1:1:2014-1:51,6,0.986315
1:1:2014-1:51,7,0.985105
1:1:2014-1:51,8,0.998696
1:1:2014-1:51,9,0.990940
1:1:2014-1:51,10,0.989999
1:1:2014-1:51,11,0.989356
1:1:2014-1:51,12,1.01034
1:1:2014-1:51,13,1.00703
1:1:2014-1:51,14,0.996561
1:1:2014-1:51,15,0.999731
1:1:2014-1:51,16,1.01041
1:1:2014-1:51,17,1.01359
1:1:2014-1:51,18,1.00898
1:1:2014-1:51,19,1.00476
1:1:2014-1:51,20,1.00888
1:1:2014-1:51,21,1.00291
1:1:2014-1:51,22,1.01077
1:1:2014-1:51,23,1.00728
1:1:2014-1:51,24,1.00696
1:1:2014-1:51,25,1.01507
1:1:2014-1:51,26,1.01546
1:1:2014-1:51,27,1.01407
1:1:2014-1:51,28,1.01108
1:1:2014-1:51,29,1.01131
1:1:2014-1:51,30,1.00856
1:1:2014-1:51,31,1.01506
1:1:2014-1:51,32,1.01357
1:1:2014-1:51,33,1.01317
1:1:2014-1:51,34,1.00940
1:1:2014-1:51,35,1.00714
1:1:2014-1:51,36,1.00537
1:1:2014-1:51,37,1.00503
1:1:2014-1:51,38,1.00458
1:1:2014-1:51,39,1.00266
1:1:2014-1:51,40,0.999714
1:1:2014-1:51,41,0.997589
1:1:2014-1:51,42,0.997237
1:1:2014-1:51,43,0.994092
1:1:2014-1:51,44,0.992646
1:1:2014-1:51,45,0.991865
1:1:2014-1:51,46,0.992728
1:1:2014-1:51,47,0.990431
1:1:2014-1:51,48,0.989081
1:1:2014-1:51,49,0.986487
1:1:2014-1:51,50,0.988083
1:1:2014-1:51,51,0.986737
1:1:2014-1:51,52,0.986618
1:1:2014-1:51,53,0.987343
1:1:2014-1:51,54,0.987659
1:1:2014-1:51,55,0.987367
1:1:2014-1:51,56,0.986835
1:1:2014-1:51,57,0.987960
1:1:2014-1:51,58,0.988519
1:1:2014-1:51,59,0.987557
1:1:2014-1:51,60,0.989835
1:1:2014-1:51,61,0.989708
1:1:2014-1:51,62,0.991140
1:1:2014-1:51,63,0.992417
1:1:2014-1:51,64,0.991402
1:1:2014-1:51,65,0.992641
1:1:2014-1:51,66,0.991675
1:1:2014-1:51,67,0.990689
1:1:2014-1:51,68,0.990201
1:1:2014-1:51,69,0.989728
1:1:2014-1:51,70,0.989480
1:1:2014-1:51,71,0.992232
1:1:2014-1:51,72,0.992606
1:1:2014-1:51,73,0.992469
1:1:2014-1:51,74,0.996626
1:1:2014-1:51,75,0.997913
1:1:2014-1:51,76,0.998333
1:1:2014-1:51,77,0.999349
1:1:2014-1:51,78,1.00011
1:1:2014-1:51,79,0.998654
1:1:2014-1:51,80,0.998485
1:1:2014-1:51,81,0.999062
1:1:2014-1:51,82,0.998483
1:1:2014-1:51,83,0.997270
1:1:2014-1:51,84,0.997521
1:1:2014-1:51,85,0.997593
1:1:2014-1:51,86,0.997614
1:1:2014-1:51,87,0.996317
1:1:2014-1:51,88,0.995876
1:1:2014-1:51,89,0.995446
1:1:2014-1:51,90,0.994706
1:1:2014-1:51,91,0.994576
1:1:2014-1:51,92,0.994755
1:1:2014-1:51,93,0.995047
1:1:2014-1:51,94,0.995676
1:1:2014-1:51,95,0.996039
1:1:2014-1:51,96,0.997008
1:1:2014-1:51,97,0.998144
1:1:2014-1:51,98,0.998404
1:1:2014-1:51,99,1.00072
1:1:2014-1:51,100,1.00000
1:1:2014-1:52,1,1.05814
1:1:2014-1:52,2,0.888960
1:1:2014-1:52,3,1.00401
1:1:2014-1:52,4,0.921372
1:1:2014-1:52,5,0.892305
1:1:2014-1:52,6,0.918952
1:1:2014-1:52,7,0.944367
1:1:2014-1:52,8,0.910503
1:1:2014-1:52,9,0.920276
1:1:2014-1:52,10,0.910433
1:1:2014-1:52,11,0.938947
1:1:2014-1:52,12,0.949176
1:1:2014-1:52,13,0.954354
1:1:2014-1:52,14,0.937783
1:1:2014-1:52,15,0.946154
1:1:2014-1:52,16,0.950610
1:1:2014-1:52,17,0.967464
1:1:2014-1:52,18,0.966063
1:1:2014-1:52,19,0.970759
1:1:2014-1:52,20,0.979660
1:1:2014-1:52,21,0.964962
1:1:2014-1:52,22,0.963489
1:1:2014-1:52,23,0.962323
1:1:2014-1:52,24,0.963227
1:1:2014-1:52,25,0.964936
1:1:2014-1:52,26,0.978257
1:1:2014-1:52,27,0.979804
1:1:2014-1:52,28,0.979194
1:1:2014-1:52,29,0.988925
1:1:2014-1:52,30,0.978439
1:1:2014-1:52,31,0.991341
1:1:2014-1:52,32,0.987297
1:1:2014-1:52,33,0.977713
1:1:2014-1:52,34,0.979370
1:1:2014-1:52,35,0.982615
1:1:2014-1:52,36,0.979212
1:1:2014-1:52,37,0.973442
1:1:2014-1:52,38,0.967921
1:1:2014-1:52,39,0.969647
1:1:2014-1:52,40,0.972216
1:1:2014-1:52,41,0.974956
1:1:2014-1:52,42,0.979414
1:1:2014-1:52,43,0.983694
1:1:2014-1:52,44,0.976643
1:1:2014-1:52,45,0.969906
1:1:2014-1:52,46,0.975211
1:1:2014-1:52,47,0.975000
1:1:2014-1:52,48,0.982701
1:1:2014-1:52,49,0.989497
1:1:2014-1:52,50,0.993320
1:1:2014-1:52,51,0.987007
1:1:2014-1:52,52,0.984566
1:1:2014-1:52,53,0.988474
1:1:2014-1:52,54,0.991360
1:1:2014-1:52,55,0.986558
1:1:2014-1:52,56,0.995188
1:1:2014-1:52,57,0.990321
1:1:2014-1:52,58,0.992255
1:1:2014-1:52,59,0.992490
1:1:2014-1:52,60,0.994679
1:1:2014-1:52,61,0.994805
1:1:2014-1:52,62,0.993075
1:1:2014-1:52,63,0.988852
1:1:2014-1:52,64,0.983891
1:1:2014-1:52,65,0.983445
1:1:2014-1:52,66,0.985301
1:1:2014-1:52,67,0.980646
1:1:2014-1:52,68,0.976770
1:1:2014-1:52,69,0.972491
1:1:2014-1:52,70,0.975063
1:1:2014-1:52,71,0.974371
1:1:2014-1:52,72,0.975193
1:1:2014-1:52,73,0.982081
1:1:2014-1:52,74,0.986242
1:1:2014-1:52,75,0.984530
1:1:2014-1:52,76,0.981011
1:1:2014-1:52,77,0.985441
1:1:2014-1:52,78,0.983835
1:1:2014-1:52,79,0.982806
1:1:2014-1:52,80,0.982600
1:1:2014-1:52,81,0.978795
1:1:2014-1:52,82,0.980249
1:1:2014-1:52,83,0.982384
1:1:2014-1:52,84,0.986007
1:1:2014-1:52,85,0.992382
1:1:2014-1:52,86,0.992882
1:1:2014-1:52,87,0.992394
1:1:2014-1:52,88,0.994852
1:1:2014-1:52,89,0.992338
1:1:2014-1:52,90,0.988795
1:1:2014-1:52,91,0.990946
1:1:2014-1:52,92,0.989149
1:1:2014-1:52,93,0.989046
1:1:2014-1:52,94,0.990165
1:1:2014-1:52,95,0.993455
1:1:2014-1:52,96,0.992282
1:1:2014-1:52,97,0.989079
1:1:2014-1:52,98,0.992562
1:1:2014-1:52,99,0.995899
1:1:2014-1:52,100,1.00000
1:1:2014-1:56,1,0.923596
1:1:2014-1:56,2,0.947470
1:1:2014-1:56,3,1.03408
1:1:2014-1:56,4,0.962890
1:1:2014-1:56,5,1.01736
1:1:2014-1:56,6,0.975560
1:1:2014-1:56,7,0.966176
1:1:2014-1:56,8,0.961203
1:1:2014-1:56,9,0.964125
1:1:2014-1:56,10,0.942644
1:1:2014-1:56,11,0.945718
1:1:2014-1:56,12,0.965790
1:1:2014-1:56,13,0.955021
1:1:2014-1:56,14,0.948141
1:1:2014-1:56,15,0.948129
1:1:2014-1:56,16,0.938803
1:1:2014-1:56,17,0.944265
1:1:2014-1:56,18,0.958664
1:1:2014-1:56,19,0.949638
1:1:2014-1:56,20,0.944141
1:1:2014-1:56,21,0.956310
1:1:2014-1:56,22,0.970678
1:1:2014-1:56,23,0.987588
1:1:2014-1:56,24,0.991870
1:1:2014-1:56,25,0.981836
1:1:2014-1:56,26,0.992504
1:1:2014-1:56,27,0.984136
1:1:2014-1:56,28,0.984067
1:1:2014-1:56,29,0.990101
1:1:2014-1:56,30,0.982650
1:1:2014-1:56,31,0.979087
1:1:2014-1:56,32,0.978571
1:1:2014-1:56,33,0.986728
1:1:2014-1:56,34,0.985529
1:1:2014-1:56,35,0.981461
1:1:2014-1:56,36,0.987384
1:1:2014-1:56,37,0.986185
1:1:2014-1:56,38,0.984888
1:1:2014-1:56,39,0.984252
1:1:2014-1:56,40,0.980551
1:1:2014-1:56,41,0.975332
1:1:2014-1:56,42,0.974831
1:1:2014-1:56,43,0.977779
1:1:2014-1:56,44,0.974095
1:1:2014-1:56,45,0.981114
1:1:2014-1:56,46,0.979699
1:1:2014-1:56,47,0.976959
1:1:2014-1:56,48,0.980463
1:1:2014-1:56,49,0.978943
1:1:2014-1:56,50,0.977387
1:1:2014-1:56,51,0.974959
1:1:2014-1:56,52,0.971217
1:1:2014-1:56,53,0.975189
1:1:2014-1:56,54,0.985219
1:1:2014-1:56,55,0.985677
1:1:2014-1:56,56,0.985644
1:1:2014-1:56,57,0.982637
1:1:2014-1:56,58,0.988365
1:1:2014-1:56,59,0.990578
1:1:2014-1:56,60,0.988675
1:1:2014-1:56,61,0.986762
1:1:2014-1:56,62,0.995873
1:1:2014-1:56,63,0.991827
1:1:2014-1:56,64,0.994180
1:1:2014-1:56,65,0.992765
1:1:2014-1:56,66,0.997609
1:1:2014-1:56,67,0.999182
1:1:2014-1:56,68,1.00013
1:1:2014-1:56,69,1.00466
1:1:2014-1:56,70,1.00744
1:1:2014-1:56,71,1.00864
1:1:2014-1:56,72,1.00550
1:1:2014-1:56,73,1.00343
1:1:2014-1:56,74,1.00943
1:1:2014-1:56,75,1.00596
1:1:2014-1:56,76,1.00247
1:1:2014-1:56,77,1.01159
1:1:2014-1:56,78,1.00876
1:1:2014-1:56,79,1.00721
1:1:2014-1:56,80,1.01015
1:1:2014-1:56,81,1.01041
1:1:2014-1:56,82,1.01242
1:1:2014-1:56,83,1.01230
1:1:2014-1:56,84,1.01078
1:1:2014-1:56,85,1.01480
1:1:2014-1:56,86,1.01370
1:1:2014-1:56,87,1.01639
1:1:2014-1:56,88,1.01714
1:1:2014-1:56,89,1.01517
1:1:2014-1:56,90,1.01600
1:1:2014-1:56,91,1.01368
1:1:2014-1:56,92,1.01128
1:1:2014-1:56,93,1.00865
1:1:2014-1:56,94,1.00693
1:1:2014-1:56,95,1.00524
1:1:2014-1:56,96,1.00249
1:1:2014-1:56,97,1.00089
1:1:2014-1:56,98,1.00089
1:1:2014-1:56,99,0.998345
1:1:2014-1:56,100,1.00000
1:1:2014-1:59,1,0.979323
1:1:2014-1:59,2,0.984589
1:1:2014-1:59,3,1.06908
1:1:2014-1:59,4,0.984531
1:1:2014-1:59,5,0.970369
1:1:2014-1:59,6,0.948966
1:1:2014-1:59,7,0.938826
1:1:2014-1:59,8,0.936427
1:1:2014-1:59,9,0.900353
1:1:2014-1:59,10,0.945726
1:1:2014-1:59,11,0.924578
1:1:2014-1:59,12,0.908963
1:1:2014-1:59,13,0.957973
1:1:2014-1:59,14,0.996014
1:1:2014-1:59,15,1.01053
1:1:2014-1:59,16,0.992356
1:1:2014-1:59,17,1.00452
1:1:2014-1:59,18,1.00900
1:1:2014-1:59,19,1.01783
1:1:2014-1:59,20,1.01590
1:1:2014-1:59,21,1.01690
1:1:2014-1:59,22,1.03087
1:1:2014-1:59,23,1.02840
1:1:2014-1:59,24,1.02293
1:1:2014-1:59,25,1.02217
1:1:2014-1:59,26,1.00911
1:1:2014-1:59,27,1.00233
1:1:2014-1:59,28,1.01467
1:1:2014-1:59,29,1.01223
1:1:2014-1:59,30,1.01346
1:1:2014-1:59,31,1.00628
1:1:2014-1:59,32,1.00483
1:1:2014-1:59,33,0.994556
1:1:2014-1:59,34,0.996590
1:1:2014-1:59,35,0.991549
1:1:2014-1:59,36,0.996621
1:1:2014-1:59,37,0.992009
1:1:2014-1:59,38,0.989308
1:1:2014-1:59,39,0.984717
1:1:2014-1:59,40,0.993957
1:1:2014-1:59,41,1.00441
1:1:2014-1:59,42,0.996986
1:1:2014-1:59,43,1.00289
1:1:2014-1:59,44,0.997915
1:1:2014-1:59,45,1.00078
1:1:2014-1:59,46,1.00726
1:1:2014-1:59,47,1.00646
1:1:2014-1:59,48,1.01210
1:1:2014-1:59,49,1.01575
1:1:2014-1:59,50,1.02397
1:1:2014-1:59,51,1.02126
1:1:2014-1:59,52,1.02145
1:1:2014-1:59,53,1.02532
1:1:2014-1:59,54,1.02937
1:1:2014-1:59,55,1.03580
1:1:2014-1:59,56,1.03444
1:1:2014-1:59,57,1.03259
1:1:2014-1:59,58,1.02808
1:1:2014-1:59,59,1.02629
1:1:2014-1:59,60,1.02740
1:1:2014-1:59,61,1.03421
1:1:2014-1:59,62,1.03403
1:1:2014-1:59,63,1.02949
1:1:2014-1:59,64,1.03439
1:1:2014-1:59,65,1.03149
1:1:2014-1:59,66,1.03177
1:1:2014-1:59,67,1.03184
1:1:2014-1:59,68,1.03202
1:1:2014-1:59,69,1.02607
1:1:2014-1:59,70,1.03148
1:1:2014-1:59,71,1.03444
1:1:2014-1:59,72,1.03129
1:1:2014-1:59,73,1.03049
1:1:2014-1:59,74,1.02941
1:1:2014-1:59,75,1.02917
1:1:2014-1:59,76,1.02750
1:1:2014-1:59,77,1.02908
1:1:2014-1:59,78,1.02910
1:1:2014-1:59,79,1.02490
1:1:2014-1:59,80,1.02495
1:1:2014-1:59,81,1.02320
1:1:2014-1:59,82,1.02031
1:1:2014-1:59,83,1.01493
1:1:2014-1:59,84,1.01683
1:1:2014-1:59,85,1.01676
1:1:2014-1:59,86,1.02313
1:1:2014-1:59,87,1.02114
1:1:2014-1:59,88,1.01665
1:1:2014-1:59,89,1.01448
1:1:2014-1:59,90,1.01221
1:1:2014-1:59,91,1.00952
1:1:2014-1:59,92,1.01102
1:1:2014-1:59,93,1.00868
1:1:2014-1:59,94,1.00652
1:1:2014-1:59,95,1.00448
1:1:2014-1:59,96,1.00270
1:1:2014-1:59,97,1.00237
1:1:2014-1:59,98,1.00223
1:1:2014-1:59,99,1.00132
1:1:2014-1:59,100,1.00000
1:1:2014-1:66,1,1.00150
1:1:2014-1:66,2,0.901026
1:1:2014-1:66,3,0.923359
1:1:2014-1:66,4,0.923083
1:1:2014-1:66,5,0.949710
1:1:2014-1:66,6,0.944412
1:1:2014-1:66,7,0.966374
1:1:2014-1:66,8,0.951675
1:1:2014-1:66,9,0.953971
1:1:2014-1:66,10,0.938629
1:1:2014-1:66,11,0.931666
1:1:2014-1:66,12,0.932994
1:1:2014-1:66,13,0.926538
1:1:2014-1:66,14,0.932849
1:1:2014-1:66,15,0.936670
1:1:2014-1:66,16,0.939478
1:1:2014-1:66,17,0.931098
1:1:2014-1:66,18,0.943572
1:1:2014-1:66,19,0.935263
1:1:2014-1:66,20,0.930729
1:1:2014-1:66,21,0.929373
1:1:2014-1:66,22,0.939216
1:1:2014-1:66,23,0.943591
1:1:2014-1:66,24,0.958651
1:1:2014-1:66,25,0.965386
1:1:2014-1:66,26,0.963180
1:1:2014-1:66,27,0.964025
1:1:2014-1:66,28,0.970581
1:1:2014-1:66,29,0.975653
1:1:2014-1:66,30,0.979327
1:1:2014-1:66,31,0.975457
1:1:2014-1:66,32,0.971618
1:1:2014-1:66,33,0.972591
1:1:2014-1:66,34,0.979762
1:1:2014-1:66,35,0.975860
1:1:2014-1:66,36,0.976403
1:1:2014-1:66,37,0.971833
1:1:2014-1:66,38,0.971824
1:1:2014-1:66,39,0.973280
1:1:2014-1:66,40,0.976849
1:1:2014-1:66,41,0.977776
1:1:2014-1:66,42,0.985311
1:1:2014-1:66,43,0.982136
1:1:2014-1:66,44,0.978492
1:1:2014-1:66,45,0.978291
1:1:2014-1:66,46,0.974350
1:1:2014-1:66,47,0.971559
1:1:2014-1:66,48,0.977226
1:1:2014-1:66,49,0.974872
1:1:2014-1:66,50,0.972434
1:1:2014-1:66,51,0.971081
1:1:2014-1:66,52,0.984264
1:1:2014-1:66,53,0.989237
1:1:2014-1:66,54,0.986664
1:1:2014-1:66,55,0.988618
1:1:2014-1:66,56,0.986021
1:1:2014-1:66,57,0.986579
1:1:2014-1:66,58,0.986630
1:1:2014-1:66,59,0.984294
1:1:2014-1:66,60,0.985283
1:1:2014-1:66,61,0.985152
1:1:2014-1:66,62,0.986892
1:1:2014-1:66,63,0.985719
1:1:2014-1:66,64,0.986392
1:1:2014-1:66,65,0.983304
1:1:2014-1:66,66,0.982994
1:1:2014-1:66,67,0.985572
1:1:2014-1:66,68,0.984997
1:1:2014-1:66,69,0.986052
1:1:2014-1:66,70,0.989515
1:1:2014-1:66,71,0.992130
1:1:2014-1:66,72,0.992916
1:1:2014-1:66,73,0.993374
1:1:2014-1:66,74,0.993363
1:1:2014-1:66,75,0.992847
1:1:2014-1:66,76,0.997514
1:1:2014-1:66,77,0.996538
1:1:2014-1:66,78,0.993981
1:1:2014-1:66,79,0.992363
1:1:2014-1:66,80,0.992686
1:1:2014-1:66,81,0.991285
1:1:2014-1:66,82,0.994172
1:1:2014-1:66,83,0.993559
1:1:2014-1:66,84,0.997342
1:1:2014-1:66,85,0.998159
1:1:2014-1:66,86,0.999524
1:1:2014-1:66,87,1.00010
1:1:2014-1:66,88,1.00027
1:1:2014-1:66,89,1.00084
1:1:2014-1:66,90,1.00196
1:1:2014-1:66,91,1.00097
1:1:2014-1:66,92,1.00210
1:1:2014-1:66,93,0.999943
1:1:2014-1:66,94,0.999333
1:1:2014-1:66,95,0.999377
1:1:2014-1:66,96,1.00177
1:1:2014-1:66,97,1.00231
1:1:2014-1:66,98,1.00025
1:1:2014-1:66,99,0.998892
1:1:2014-1:66,100,1.00000
1:1:2014-1:67,1,1.22098
1:1:2014-1:67,2,1.13803
1:1:2014-1:67,3,1.10925
1:1:2014-1:67,4,1.06692
1:1:2014-1:67,5,1.13488
1:1:2014-1:67,6,1.09266
1:1:2014-1:67,7,1.04948
1:1:2014-1:67,8,1.02894
1:1:2014-1:67,9,1.04340
1:1:2014-1:67,10,1.02673
1:1:2014-1:67,11,1.01345
1:1:2014-1:67,12,1.02136
1:1:2014-1:67,13,1.03259
1:1:2014-1:67,14,1.02022
1:1:2014-1:67,15,1.01075
1:1:2014-1:67,16,1.03276
1:1:2014-1:67,17,1.01850
1:1:2014-1:67,18,1.03119
1:1:2014-1:67,19,1.02254
1:1:2014-1:67,20,1.02137
1:1:2014-1:67,21,1.03315
1:1:2014-1:67,22,1.04903
1:1:2014-1:67,23,1.05649
1:1:2014-1:67,24,1.06233
1:1:2014-1:67,25,1.05594
1:1:2014-1:67,26,1.04937
1:1:2014-1:67,27,1.04071
1:1:2014-1:67,28,1.04172
1:1:2014-1:67,29,1.03658
1:1:2014-1:67,30,1.02857
1:1:2014-1:67,31,1.02114
1:1:2014-1:67,32,1.02067
1:1:2014-1:67,33,1.02766
1:1:2014-1:67,34,1.03395
1:1:2014-1:67,35,1.03372
1:1:2014-1:67,36,1.02856
1:1:2014-1:67,37,1.02455
1:1:2014-1:67,38,1.02131
1:1:2014-1:67,39,1.02513
1:1:2014-1:67,40,1.02144
1:1:2014-1:67,41,1.01735
1:1:2014-1:67,42,1.02229
1:1:2014-1:67,43,1.02196
1:1:2014-1:67,44,1.02417
1:1:2014-1:67,45,1.01989
1:1:2014-1:67,46,1.01708
1:1:2014-1:67,47,1.01454
1:1:2014-1:67,48,1.01757
1:1:2014-1:67,49,1.01860
1:1:2014-1:67,50,1.02357
1:1:2014-1:67,51,1.02344
1:1:2014-1:67,52,1.02653
1:1:2014-1:67,53,1.02255
1:1:2014-1:67,54,1.01840
1:1:2014-1:67,55,1.01916
1:1:2014-1:67,56,1.01845
1:1:2014-1:67,57,1.01799
1:1:2014-1:67,58,1.01947
1:1:2014-1:67,59,1.02081
1:1:2014-1:67,60,1.01950
1:1:2014-1:67,61,1.01583
1:1:2014-1:67,62,1.01661
1:1:2014-1:67,63,1.01445
1:1:2014-1:67,64,1.01114
1:1:2014-1:67,65,1.00798
1:1:2014-1:67,66,1.01358
1:1:2014-1:67,67,1.01080
1:1:2014-1:67,68,1.01174
1:1:2014-1:67,69,1.00934
1:1:2014-1:67,70,1.01527
1:1:2014-1:67,71,1.01822
1:1:2014-1:67,72,1.01593
1:1:2014-1:67,73,1.01301
1:1:2014-1:67,74,1.01132
1:1:2014-1:67,75,1.01236
1:1:2014-1:67,76,1.01285
1:1:2014-1:67,77,1.01012
1:1:2014-1:67,78,1.01316
1:1:2014-1:67,79,1.01142
1:1:2014-1:67,80,1.00893
1:1:2014-1:67,81,1.00659
1:1:2014-1:67,82,1.00700
1:1:2014-1:67,83,1.01210
1:1:2014-1:67,84,1.01063
1:1:2014-1:67,85,1.00899
1:1:2014-1:67,86,1.00654
1:1:2014-1:67,87,1.00412
1:1:2014-1:67,88,1.00184
1:1:2014-1:67,89,1.00236
1:1:2014-1:67,90,1.00046
1:1:2014-1:67,91,0.999094
1:1:2014-1:67,92,1.00136
1:1:2014-1:67,93,1.00423
1:1:2014-1:67,94,1.00288
1:1:2014-1:67,95,1.00280
1:1:2014-1:67,96,1.00693
1:1:2014-1:67,97,1.00504
1:1:2014-1:67,98,1.00314
1:1:2014-1:67,99,1.00170
1:1:2014-1:67,100,1.00000
1:1:2014-1:69,1,1.38282
1:1:2014-1:69,2,1.08078
1:1:2014-1:69,3,1.02770
1:1:2014-1:69,4,0.968529
1:1:2014-1:69,5,1.00654
1:1:2014-1:69,6,1.04353
1:1:2014-1:69,7,1.10461
1:1:2014-1:69,8,1.13895
1:1:2014-1:69,9,1.13330
1:1:2014-1:69,10,1.12913
1:1:2014-1:69,11,1.10866
1:1:2014-1:69,12,1.08250
1:1:2014-1:69,13,1.06896
1:1:2014-1:69,14,1.05251
1:1:2014-1:69,15,1.04892
1:1:2014-1:69,16,1.05491
1:1:2014-1:69,17,1.04493
1:1:2014-1:69,18,1.05438
1:1:2014-1:69,19,1.05435
1:1:2014-1:69,20,1.04066
1:1:2014-1:69,21,1.03263
1:1:2014-1:69,22,1.02470
1:1:2014-1:69,23,1.02108
1:1:2014-1:69,24,1.01824
1:1:2014-1:69,25,1.01070
1:1:2014-1:69,26,1.00201
1:1:2014-1:69,27,1.00514
1:1:2014-1:69,28,1.00290
1:1:2014-1:69,29,1.00130
1:1:2014-1:69,30,1.01970
1:1:2014-1:69,31,1.01245
1:1:2014-1:69,32,1.02564
1:1:2014-1:69,33,1.02744
1:1:2014-1:69,34,1.03128
1:1:2014-1:69,35,1.03083
1:1:2014-1:69,36,1.02477
1:1:2014-1:69,37,1.03651
1:1:2014-1:69,38,1.04362
1:1:2014-1:69,39,1.04691
1:1:2014-1:69,40,1.04495
1:1:2014-1:69,41,1.04086
1:1:2014-1:69,42,1.03979
1:1:2014-1:69,43,1.03526
1:1:2014-1:69,44,1.03225
1:1:2014-1:69,45,1.03319
1:1:2014-1:69,46,1.02668
1:1:2014-1:69,47,1.02573
1:1:2014-1:69,48,1.02791
1:1:2014-1:69,49,1.02866
1:1:2014-1:69,50,1.02677
1:1:2014-1:69,51,1.02345
1:1:2014-1:69,52,1.01486
1:1:2014-1:69,53,1.01759
1:1:2014-1:69,54,1.01859
1:1:2014-1:69,55,1.01721
1:1:2014-1:69,56,1.01076
1:1:2014-1:69,57,1.00781
1:1:2014-1:69,58,1.00528
1:1:2014-1:69,59,1.00179
1:1:2014-1:69,60,0.999615
1:1:2014-1:69,61,0.996852
1:1:2014-1:69,62,0.994187
1:1:2014-1:69,63,0.998457
1:1:2014-1:69,64,1.00442
1:1:2014-1:69,65,1.00606
1:1:2014-1:69,66,1.01188
1:1:2014-1:69,67,1.01222
1:1:2014-1:69,68,1.01376
1:1:2014-1:69,69,1.01351
1:1:2014-1:69,70,1.01401
1:1:2014-1:69,71,1.02057
1:1:2014-1:69,72,1.02737
1:1:2014-1:69,73,1.02321
1:1:2014-1:69,74,1.02922
1:1:2014-1:69,75,1.03190
1:1:2014-1:69,76,1.02818
1:1:2014-1:69,77,1.02779
1:1:2014-1:69,78,1.03103
1:1:2014-1:69,79,1.03556
1:1:2014-1:69,80,1.03161
1:1:2014-1:69,81,1.03289
1:1:2014-1:69,82,1.02732
1:1:2014-1:69,83,1.02861
1:1:2014-1:69,84,1.02658
1:1:2014-1:69,85,1.02218
1:1:2014-1:69,86,1.02014
1:1:2014-1:69,87,1.01696
1:1:2014-1:69,88,1.01640
1:1:2014-1:69,89,1.01368
1:1:2014-1:69,90,1.00882
1:1:2014-1:69,91,1.00705
1:1:2014-1:69,92,1.00554
1:1:2014-1:69,93,1.00478
1:1:2014-1:69,94,1.00532
1:1:2014-1:69,95,1.00549
1:1:2014-1:69,96,1.00181
1:1:2014-1:69,97,0.999495
1:1:2014-1:69,98,0.998215
1:1:2014-1:69,99,0.998046
1:1:2014-1:69,100,1.00000
1:1:2014-1:71,1,0.879713
1:1:2014-1:71,2,0.987971
1:1:2014-1:71,3,0.946000
1:1:2014-1:71,4,0.982266
1:1:2014-1:71,5,1.01803
1:1:2014-1:71,6,0.994703
1:1:2014-1:71,7,1.00913
1:1:2014-1:71,8,0.997989
1:1:2014-1:71,9,1.00564
1:1:2014-1:71,10,1.01729
1:1:2014-1:71,11,1.00580
1:1:2014-1:71,12,0.998713
1:1:2014-1:71,13,1.00205
1:1:2014-1:71,14,0.992048
1:1:2014-1:71,15,0.984641
1:1:2014-1:71,16,0.991193
1:1:2014-1:71,17,0.994592
1:1:2014-1:71,18,1.00874
1:1:2014-1:71,19,1.00928
1:1:2014-1:71,20,1.02157
1:1:2014-1:71,21,1.02516
1:1:2014-1:71,22,1.01611
