Puzzle,#Runs,Fraction
1:1:2014-1:2,77,0.994134
1:1:2014-1:2,78,0.991183
1:1:2014-1:2,79,0.993190
1:1:2014-1:2,80,0.990298
1:1:2014-1:2,81,0.989170
1:1:2014-1:2,82,0.989919
1:1:2014-1:2,83,0.992739
1:1:2014-1:2,84,0.992591
1:1:2014-1:2,85,0.995025
1:1:2014-1:2,86,0.996772
1:1:2014-1:2,87,0.997902
1:1:2014-1:2,88,0.997105
1:1:2014-1:2,89,0.997219
1:1:2014-1:2,90,1.00313
1:1:2014-1:2,91,1.00219
1:1:2014-1:2,92,1.00163
1:1:2014-1:2,93,1.00081
1:1:2014-1:2,94,1.00127
1:1:2014-1:2,95,0.998933
1:1:2014-1:2,96,0.996368
1:1:2014-1:2,97,0.993477
1:1:2014-1:2,98,0.993255
1:1:2014-1:2,99,0.993715
1:1:2014-1:2,100,1.00000
1:1:2014-1:3,1,0.995975
1:1:2014-1:3,2,1.00211
1:1:2014-1:3,3,0.977924
1:1:2014-1:3,4,0.965192
1:1:2014-1:3,5,1.00864
1:1:2014-1:3,6,1.00029
1:1:2014-1:3,7,1.00711
1:1:2014-1:3,8,1.00103
1:1:2014-1:3,9,1.00548
1:1:2014-1:3,10,1.00470
1:1:2014-1:3,11,0.999643
1:1:2014-1:3,12,0.999623
1:1:2014-1:3,13,1.00882
1:1:2014-1:3,14,1.02333
1:1:2014-1:3,15,1.01939
1:1:2014-1:3,16,1.01480
1:1:2014-1:3,17,1.01075
1:1:2014-1:3,18,1.01070
1:1:2014-1:3,19,1.01090
1:1:2014-1:3,20,1.01133
1:1:2014-1:3,21,1.01011
1:1:2014-1:3,22,1.01011
1:1:2014-1:3,23,1.00958
1:1:2014-1:3,24,1.00708
1:1:2014-1:3,25,1.00753
1:1:2014-1:3,26,1.00574
1:1:2014-1:3,27,1.00646
1:1:2014-1:3,28,1.01068
1:1:2014-1:3,29,1.01057
1:1:2014-1:3,30,1.01075
1:1:2014-1:3,31,1.00842
1:1:2014-1:3,32,1.00583
1:1:2014-1:3,33,1.00451
1:1:2014-1:3,34,1.00398
1:1:2014-1:3,35,1.00392
1:1:2014-1:3,36,1.00277
1:1:2014-1:3,37,1.00413
1:1:2014-1:3,38,1.00464
1:1:2014-1:3,39,1.00417
1:1:2014-1:3,40,1.00357
1:1:2014-1:3,41,1.00393
1:1:2014-1:3,42,1.00291
1:1:2014-1:3,43,1.00250
1:1:2014-1:3,44,1.00291
1:1:2014-1:3,45,1.00372
1:1:2014-1:3,46,1.00471
1:1:2014-1:3,47,1.00502
1:1:2014-1:3,48,1.00413
1:1:2014-1:3,49,1.00378
1:1:2014-1:3,50,1.00234
1:1:2014-1:3,51,1.00100
1:1:2014-1:3,52,1.00093
1:1:2014-1:3,53,0.999622
1:1:2014-1:3,54,0.998277
1:1:2014-1:3,55,0.997657
1:1:2014-1:3,56,0.997618
1:1:2014-1:3,57,0.996561
1:1:2014-1:3,58,0.997109
1:1:2014-1:3,59,0.996295
1:1:2014-1:3,60,0.996272
1:1:2014-1:3,61,0.995077
1:1:2014-1:3,62,0.994532
1:1:2014-1:3,63,0.994568
1:1:2014-1:3,64,0.994340
1:1:2014-1:3,65,0.994423
1:1:2014-1:3,66,0.993440
1:1:2014-1:3,67,0.992770
1:1:2014-1:3,68,0.992209
1:1:2014-1:3,69,0.992606
1:1:2014-1:3,70,0.991768
1:1:2014-1:3,71,0.991774
1:1:2014-1:3,72,0.991716
1:1:2014-1:3,73,0.991886
1:1:2014-1:3,74,0.991731
1:1:2014-1:3,75,0.991863
1:1:2014-1:3,76,0.992626
1:1:2014-1:3,77,0.992053
1:1:2014-1:3,78,0.991201
1:1:2014-1:3,79,0.990823
1:1:2014-1:3,80,0.991235
1:1:2014-1:3,81,0.991096
1:1:2014-1:3,82,0.990718
1:1:2014-1:3,83,0.991635
1:1:2014-1:3,84,0.991122
1:1:2014-1:3,85,0.990806
1:1:2014-1:3,86,0.991518
1:1:2014-1:3,87,0.991507
1:1:2014-1:3,88,0.990892
1:1:2014-1:3,89,0.992930
1:1:2014-1:3,90,0.992192
1:1:2014-1:3,91,0.992176
1:1:2014-1:3,92,0.994404
1:1:2014-1:3,93,0.997278
1:1:2014-1:3,94,0.997164
1:1:2014-1:3,95,0.997612
1:1:2014-1:3,96,1.00084
1:1:2014-1:3,97,1.00081
1:1:2014-1:3,98,1.00008
1:1:2014-1:3,99,0.999987
1:1:2014-1:3,100,1.00000
1:1:2014-1:4,1,1.16047
1:1:2014-1:4,2,1.09467
1:1:2014-1:4,3,1.12185
1:1:2014-1:4,4,1.04974
1:1:2014-1:4,5,1.05918
1:1:2014-1:4,6,1.06130
1:1:2014-1:4,7,1.02874
1:1:2014-1:4,8,1.02078
1:1:2014-1:4,9,1.00061
1:1:2014-1:4,10,1.01535
1:1:2014-1:4,11,1.02066
1:1:2014-1:4,12,1.00603
1:1:2014-1:4,13,1.00843
1:1:2014-1:4,14,0.999065
1:1:2014-1:4,15,1.00968
1:1:2014-1:4,16,1.02990
1:1:2014-1:4,17,1.01801
1:1:2014-1:4,18,1.00589
1:1:2014-1:4,19,1.01908
1:1:2014-1:4,20,1.01765
1:1:2014-1:4,21,1.01286
1:1:2014-1:4,22,1.01249
1:1:2014-1:4,23,1.01500
1:1:2014-1:4,24,1.03524
1:1:2014-1:4,25,1.03189
1:1:2014-1:4,26,1.04309
1:1:2014-1:4,27,1.04432
1:1:2014-1:4,28,1.05266
1:1:2014-1:4,29,1.05249
1:1:2014-1:4,30,1.04905
1:1:2014-1:4,31,1.04285
1:1:2014-1:4,32,1.03935
1:1:2014-1:4,33,1.03666
1:1:2014-1:4,34,1.02919
1:1:2014-1:4,35,1.02263
1:1:2014-1:4,36,1.02240
1:1:2014-1:4,37,1.03410
1:1:2014-1:4,38,1.02940
1:1:2014-1:4,39,1.02674
1:1:2014-1:4,40,1.03275
1:1:2014-1:4,41,1.03073
1:1:2014-1:4,42,1.02744
1:1:2014-1:4,43,1.03448
1:1:2014-1:4,44,1.03024
1:1:2014-1:4,45,1.02989
1:1:2014-1:4,46,1.02637
1:1:2014-1:4,47,1.02772
1:1:2014-1:4,48,1.02268
1:1:2014-1:4,49,1.01970
1:1:2014-1:4,50,1.02375
1:1:2014-1:4,51,1.02225
1:1:2014-1:4,52,1.02150
1:1:2014-1:4,53,1.02245
1:1:2014-1:4,54,1.02154
1:1:2014-1:4,55,1.01725
1:1:2014-1:4,56,1.01778
1:1:2014-1:4,57,1.02083
1:1:2014-1:4,58,1.01949
1:1:2014-1:4,59,1.01614
1:1:2014-1:4,60,1.01720
1:1:2014-1:4,61,1.01548
1:1:2014-1:4,62,1.01597
1:1:2014-1:4,63,1.01356
1:1:2014-1:4,64,1.01831
1:1:2014-1:4,65,1.01473
1:1:2014-1:4,66,1.01257
1:1:2014-1:4,67,1.01194
1:1:2014-1:4,68,1.00856
1:1:2014-1:4,69,1.00554
1:1:2014-1:4,70,1.00726
1:1:2014-1:4,71,1.00660
1:1:2014-1:4,72,1.00423
1:1:2014-1:4,73,1.00310
1:1:2014-1:4,74,1.00727
1:1:2014-1:4,75,1.01055
1:1:2014-1:4,76,1.00845
1:1:2014-1:4,77,1.00555
1:1:2014-1:4,78,1.00269
1:1:2014-1:4,79,1.00538
1:1:2014-1:4,80,1.00692
1:1:2014-1:4,81,1.00499
1:1:2014-1:4,82,1.00376
1:1:2014-1:4,83,1.00228
1:1:2014-1:4,84,1.00026
1:1:2014-1:4,85,0.998252
1:1:2014-1:4,86,0.998859
1:1:2014-1:4,87,1.00227
1:1:2014-1:4,88,1.00452
1:1:2014-1:4,89,1.00314
1:1:2014-1:4,90,1.00069
1:1:2014-1:4,91,1.00213
1:1:2014-1:4,92,1.00029
1:1:2014-1:4,93,0.998488
1:1:2014-1:4,94,0.996248
1:1:2014-1:4,95,0.994809
1:1:2014-1:4,96,0.994428
1:1:2014-1:4,97,0.996461
1:1:2014-1:4,98,0.999490
1:1:2014-1:4,99,0.999819
1:1:2014-1:4,100,1.00000
1:1:2014-1:6,1,1.21781
1:1:2014-1:6,2,1.13307
1:1:2014-1:6,3,1.06709
1:1:2014-1:6,4,1.02151
1:1:2014-1:6,5,1.01951
1:1:2014-1:6,6,1.03469
1:1:2014-1:6,7,1.03128
1:1:2014-1:6,8,1.01202
1:1:2014-1:6,9,0.997472
1:1:2014-1:6,10,0.999069
1:1:2014-1:6,11,1.00527
1:1:2014-1:6,12,1.00316
1:1:2014-1:6,13,1.01099
1:1:2014-1:6,14,1.01124
1:1:2014-1:6,15,1.00924
1:1:2014-1:6,16,1.00658
1:1:2014-1:6,17,0.996745
1:1:2014-1:6,18,0.991207
1:1:2014-1:6,19,0.994934
1:1:2014-1:6,20,0.993175
1:1:2014-1:6,21,0.986101
1:1:2014-1:6,22,0.988590
1:1:2014-1:6,23,0.984289
1:1:2014-1:6,24,0.986059
1:1:2014-1:6,25,0.987592
1:1:2014-1:6,26,0.988919
1:1:2014-1:6,27,0.983503
1:1:2014-1:6,28,0.982739
1:1:2014-1:6,29,0.995623
1:1:2014-1:6,30,0.996989
1:1:2014-1:6,31,0.995251
1:1:2014-1:6,32,0.997049
1:1:2014-1:6,33,1.00077
1:1:2014-1:6,34,1.00587
1:1:2014-1:6,35,1.01041
1:1:2014-1:6,36,1.00929
1:1:2014-1:6,37,1.00874
1:1:2014-1:6,38,1.00415
1:1:2014-1:6,39,1.00483
1:1:2014-1:6,40,1.00487
1:1:2014-1:6,41,1.00446
1:1:2014-1:6,42,1.00921
1:1:2014-1:6,43,1.00887
1:1:2014-1:6,44,1.01005
1:1:2014-1:6,45,1.00569
1:1:2014-1:6,46,1.00185
1:1:2014-1:6,47,1.00512
1:1:2014-1:6,48,1.00572
1:1:2014-1:6,49,1.00465
1:1:2014-1:6,50,1.00113
1:1:2014-1:6,51,0.998936
1:1:2014-1:6,52,0.998639
1:1:2014-1:6,53,0.995635
1:1:2014-1:6,54,0.996965
1:1:2014-1:6,55,1.00000
1:1:2014-1:6,56,1.00030
1:1:2014-1:6,57,1.00178
1:1:2014-1:6,58,0.998547
1:1:2014-1:6,59,0.996703
1:1:2014-1:6,60,0.995661
1:1:2014-1:6,61,0.996499
1:1:2014-1:6,62,0.997132
1:1:2014-1:6,63,0.999992
1:1:2014-1:6,64,1.00166
1:1:2014-1:6,65,1.00157
1:1:2014-1:6,66,0.999343
1:1:2014-1:6,67,1.00015
1:1:2014-1:6,68,0.999803
1:1:2014-1:6,69,1.00150
1:1:2014-1:6,70,1.00116
1:1:2014-1:6,71,1.00216
1:1:2014-1:6,72,1.00041
1:1:2014-1:6,73,0.998246
1:1:2014-1:6,74,0.997743
1:1:2014-1:6,75,0.996324
1:1:2014-1:6,76,0.995822
1:1:2014-1:6,77,0.996653
1:1:2014-1:6,78,0.998268
1:1:2014-1:6,79,0.997681
1:1:2014-1:6,80,0.999079
1:1:2014-1:6,81,0.997148
1:1:2014-1:6,82,0.996855
1:1:2014-1:6,83,0.996355
1:1:2014-1:6,84,0.994359
1:1:2014-1:6,85,0.996318
1:1:2014-1:6,86,0.996986
1:1:2014-1:6,87,0.997264
1:1:2014-1:6,88,0.998282
1:1:2014-1:6,89,0.999582
1:1:2014-1:6,90,0.998327
1:1:2014-1:6,91,0.998904
1:1:2014-1:6,92,0.997648
1:1:2014-1:6,93,0.997190
1:1:2014-1:6,94,0.997443
1:1:2014-1:6,95,0.996319
1:1:2014-1:6,96,0.996648
1:1:2014-1:6,97,0.996375
1:1:2014-1:6,98,0.996798
1:1:2014-1:6,99,0.996360
1:1:2014-1:6,100,1.00000
1:1:2014-1:7,1,1.01396
1:1:2014-1:7,2,0.874949
1:1:2014-1:7,3,0.962978
1:1:2014-1:7,4,0.999490
1:1:2014-1:7,5,0.987872
1:1:2014-1:7,6,1.00536
