..........1.....8.8.3...4.19.......4.4.....2.5.......84.1...8.6.5.....3..........	2	FAST_100_1_60_10	39	2	21	3	23	1	20	1	23	1	21	1	21	1	19	1	21	1	23	1
..........1.....8.8.3...4.19.......4.4.....2.5.......84.1...8.6.5.....3..........	2	FAST_75_2_40_0	39	2	21	3	23	1	20	1	23	1	21	1	21	1	19	1	21	1	23	1
..........1.....8.8.3...4.19.......4.4.....2.5.......84.1...8.6.5.....3..........	2	FAST_50_2_30_0	39	2	21	3	23	1	20	1	23	1	21	1	21	1	19	1	21	1	23	1
..........1.....8.8.3...4.19.......4.4.....2.5.......84.1...8.6.5.....3..........	2	FAST_40_2_25_0	39	2	21	3	23	1	20	1	23	1	21	1	21	1	19	1	21	1	23	1
.....617.....2.8.6....4.......1........8.5........4.......6....1.3.5.....253.....	2	SIMPLE	55	1	23	1	24	1	126	5	207	3	27	1	19	1	27	3	23	1	24	4
.....617.....2.8.6....4.......1........8.5........4.......6....1.3.5.....253.....	2	FAST_100_1_60_10	55	1	23	1	24	1	192	4	22	2	63	1	22	1	20	2	283	1	124	1
.....617.....2.8.6....4.......1........8.5........4.......6....1.3.5.....253.....	2	FAST_75_2_40_0	88	1	45	2	22	1	28	1	22	1	37	1	72	1	23	1	204	1	69	1
.....617.....2.8.6....4.......1........8.5........4.......6....1.3.5.....253.....	2	FAST_50_2_30_0	88	1	45	2	22	1	28	1	22	1	37	1	72	1	23	1	204	1	69	1
.....617.....2.8.6....4.......1........8.5........4.......6....1.3.5.....253.....	2	FAST_40_2_25_0	88	1	45	2	22	1	28	1	22	1	37	1	72	1	23	1	204	1	69	1
......9.2...8..5......4.7...5.6....4..8..1.......3....795...............4..1.....	2	SIMPLE	39	3	20	1	21	2	18	1	22	1	16	2	22	3	23	4	21	1	22	2
......9.2...8..5......4.7...5.6....4..8..1.......3....795...............4..1.....	2	FAST_100_1_60_10	39	3	20	1	21	2	18	1	22	1	16	2	22	3	23	4	21	1	22	2
......9.2...8..5......4.7...5.6....4..8..1.......3....795...............4..1.....	2	FAST_75_2_40_0	39	3	20	1	21	2	18	1	22	1	16	2	22	3	23	4	21	1	22	2
......9.2...8..5......4.7...5.6....4..8..1.......3....795...............4..1.....	2	FAST_50_2_30_0	39	3	20	1	21	2	18	1	22	1	16	2	22	3	23	4	21	1	22	2
......9.2...8..5......4.7...5.6....4..8..1.......3....795...............4..1.....	2	FAST_40_2_25_0	39	3	20	1	21	2	18	1	22	1	16	2	22	3	23	4	21	1	22	2
.........4....1.2..3.8..1............6.3....18...1.6.............7.4.5..3..5...7.	2	SIMPLE	35	5	17	2	26	1	24	2	18	2	25	1	22	3	18	2	19	1	24	1
.........4....1.2..3.8..1............6.3....18...1.6.............7.4.5..3..5...7.	2	FAST_100_1_60_10	35	5	17	2	26	1	24	2	18	2	25	1	22	3	18	2	19	1	24	1
.........4....1.2..3.8..1............6.3....18...1.6.............7.4.5..3..5...7.	2	FAST_75_2_40_0	35	5	17	2	26	1	24	2	18	2	25	1	22	3	18	2	19	1	24	1
.........4....1.2..3.8..1............6.3....18...1.6.............7.4.5..3..5...7.	2	FAST_50_2_30_0	35	5	17	2	26	1	24	2	18	2	25	1	22	3	18	2	19	1	24	1
.........4....1.2..3.8..1............6.3....18...1.6.............7.4.5..3..5...7.	2	FAST_40_2_25_0	35	5	17	2	26	1	24	2	18	2	25	1	22	3	18	2	19	1	24	1
...6.3....3.....1...1...3..4.......97.......49.......2..9...5...5.....2....5.2...	2	SIMPLE	117	5	20	1	20	1	21	2	23	1	16	1	25	1	20	1	21	1	22	2
...6.3....3.....1...1...3..4.......97.......49.......2..9...5...5.....2....5.2...	2	FAST_100_1_60_10	126	2	20	1	20	2	29	1	24	1	40	1	26	2	21	3	22	1	19	1
...6.3....3.....1...1...3..4.......97.......49.......2..9...5...5.....2....5.2...	2	FAST_75_2_40_0	145	3	19	1	21	5	18	1	76	1	25	1	69	2	23	2	73	1	23	1
...6.3....3.....1...1...3..4.......97.......49.......2..9...5...5.....2....5.2...	2	FAST_50_2_30_0	145	3	19	1	21	5	18	1	76	1	25	1	69	2	23	2	73	1	23	1
...6.3....3.....1...1...3..4.......97.......49.......2..9...5...5.....2....5.2...	2	FAST_40_2_25_0	145	3	19	1	21	5	18	1	76	1	25	1	69	2	23	2	73	1	23	1
8.2..........7.29.....5....2.4.....9....1.7..1....3.2........3..........6.......7	2	SIMPLE	70	1	22	1	22	2	23	1	27	1	20	1	19	2	21	1	19	1	22	1
8.2..........7.29.....5....2.4.....9....1.7..1....3.2........3..........6.......7	2	FAST_100_1_60_10	70	1	22	1	22	2	23	1	27	1	20	1	19	2	21	1	19	1	22	1
8.2..........7.29.....5....2.4.....9....1.7..1....3.2........3..........6.......7	2	FAST_75_2_40_0	72	1	24	1	21	1	23	2	22	1	20	1	24	1	25	1	19	2	31	1
8.2..........7.29.....5....2.4.....9....1.7..1....3.2........3..........6.......7	2	FAST_50_2_30_0	72	1	24	1	21	1	23	2	22	1	20	1	24	1	25	1	19	2	31	1
8.2..........7.29.....5....2.4.....9....1.7..1....3.2........3..........6.......7	2	FAST_40_2_25_0	72	1	24	1	21	1	23	2	22	1	20	1	24	1	25	1	19	2	31	1
.........3.8...9.7.91...83..3.....9...........65...42...........8.....4.....9....	2	SIMPLE	43	1	22	1	48	1	24	1	26	2	26	1	30	1	26	1	38	1	28	5
.........3.8...9.7.91...83..3.....9...........65...42...........8.....4.....9....	2	FAST_100_1_60_10	43	1	22	1	48	1	24	1	26	2	26	1	30	1	26	1	38	1	28	5
.........3.8...9.7.91...83..3.....9...........65...42...........8.....4.....9....	2	FAST_75_2_40_0	43	1	22	1	48	1	24	1	26	2	26	1	30	1	26	1	38	1	28	5
.........3.8...9.7.91...83..3.....9...........65...42...........8.....4.....9....	2	FAST_50_2_30_0	43	1	22	1	48	1	24	1	26	2	26	1	30	1	26	1	38	1	28	5
.........3.8...9.7.91...83..3.....9...........65...42...........8.....4.....9....	2	FAST_40_2_25_0	43	1	22	1	48	1	24	1	26	2	26	1	30	1	26	1	38	1	28	5
.......16....18.3........8.....9..4..2.1...5..6................14385....8........	0	SIMPLE	35879	0	44935	0	6890	0	45700	0	24646	0	122	0	41576	0	1263	0	31544	0	24505	0
.......16....18.3........8.....9..4..2.1...5..6................14385....8........	0	FAST_100_1_60_10	2746	0	18	0	14808	0	11261	0	5213	0	1041	0	8889	0	1308	0	1478	0	15545	0
.......16....18.3........8.....9..4..2.1...5..6................14385....8........	0	FAST_75_2_40_0	41309	0	54739	0	50248	0	30	0	22335	0	25490	0	93470	0	31228	0	35310	0	2967	0
.......16....18.3........8.....9..4..2.1...5..6................14385....8........	0	FAST_50_2_30_0	41309	0	54739	0	50248	0	30	0	22335	0	25490	0	93470	0	31228	0	35310	0	2967	0
.......16....18.3........8.....9..4..2.1...5..6................14385....8........	0	FAST_40_2_25_0	41309	0	54739	0	50248	0	30	0	22335	0	25490	0	93470	0	31228	0	35310	0	2967	0
...6439....................9..3.....6.....4..5.......93...6..5.......1.8.....2.37	2	SIMPLE	88	2	18	1	32	3	18	1	20	1	27	2	24	6	22	1	21	1	19	1
...6439....................9..3.....6.....4..5.......93...6..5.......1.8.....2.37	2	FAST_100_1_60_10	88	2	18	1	32	3	18	1	20	1	27	2	24	6	22	1	21	1	19	1
...6439....................9..3.....6.....4..5.......93...6..5.......1.8.....2.37	2	FAST_75_2_40_0	73	1	24	1	22	3	21	1	20	1	24	1	23	2	71	1	22	6	20	3
...6439....................9..3.....6.....4..5.......93...6..5.......1.8.....2.37	2	FAST_50_2_30_0	73	1	24	1	22	3	21	1	20	1	24	1	23	2	71	1	22	6	20	3
...6439....................9..3.....6.....4..5.......93...6..5.......1.8.....2.37	2	FAST_40_2_25_0	73	1	24	1	22	3	21	1	20	1	24	1	23	2	71	1	22	6	20	3
..9.8.2......1........2....64.....12.........81.....39....9........3......5.7.9..	0	SIMPLE	38	0	62	0	2	0	64	0	2	0	64	0	2	0	62	0	6	0	2	0
..9.8.2......1........2....64.....12.........81.....39....9........3......5.7.9..	0	FAST_100_1_60_10	38	0	62	0	2	0	64	0	2	0	64	0	2	0	62	0	6	0	2	0
..9.8.2......1........2....64.....12.........81.....39....9........3......5.7.9..	0	FAST_75_2_40_0	38	0	53	0	2	0	10	0	2	0	38	0	2	0	2	0	30	0	2	0
..9.8.2......1........2....64.....12.........81.....39....9........3......5.7.9..	0	FAST_50_2_30_0	38	0	53	0	2	0	10	0	2	0	38	0	2	0	2	0	30	0	2	0
..9.8.2......1........2....64.....12.........81.....39....9........3......5.7.9..	0	FAST_40_2_25_0	38	0	53	0	2	0	10	0	2	0	38	0	2	0	2	0	30	0	2	0
9...5...4..3.9.5..7.5...6.3...........................3.2...4.6..4.8.3..1...3...5	0	SIMPLE	106	0	66	0	390	0	710	0	516	0	150	0	1642	0	116	0	42	0	1548	0
9...5...4..3.9.5..7.5...6.3...........................3.2...4.6..4.8.3..1...3...5	0	FAST_100_1_60_10	168	0	408	0	1132	0	50	0	396	0	56	0	325	0	60	0	612	0	157	0
9...5...4..3.9.5..7.5...6.3...........................3.2...4.6..4.8.3..1...3...5	0	FAST_75_2_40_0	138	0	128	0	1272	0	554	0	588	0	443	0	464	0	938	0	522	0	180	0
9...5...4..3.9.5..7.5...6.3...........................3.2...4.6..4.8.3..1...3...5	0	FAST_50_2_30_0	138	0	128	0	1272	0	554	0	588	0	443	0	464	0	938	0	522	0	180	0
9...5...4..3.9.5..7.5...6.3...........................3.2...4.6..4.8.3..1...3...5	0	FAST_40_2_25_0	138	0	128	0	1272	0	554	0	588	0	443	0	464	0	938	0	522	0	180	0
4.2....6..........1...4.57.........8..6.............1...1......7.8..3..5...2...3.	2	SIMPLE	42	1	24	2	20	3	28	1	23	1	26	2	29	4	26	2	22	1	26	6
4.2....6..........1...4.57.........8..6.............1...1......7.8..3..5...2...3.	2	FAST_100_1_60_10	42	1	24	2	20	3	28	1	23	1	26	2	29	4	26	2	22	1	26	6
4.2....6..........1...4.57.........8..6.............1...1......7.8..3..5...2...3.	2	FAST_75_2_40_0	42	1	24	2	20	3	28	1	23	1	26	2	29	4	26	2	22	1	26	6
4.2....6..........1...4.57.........8..6.............1...1......7.8..3..5...2...3.	2	FAST_50_2_30_0	42	1	24	2	20	3	28	1	23	1	26	2	29	4	26	2	22	1	26	6
4.2....6..........1...4.57.........8..6.............1...1......7.8..3..5...2...3.	2	FAST_40_2_25_0	42	1	24	2	20	3	28	1	23	1	26	2	29	4	26	2	22	1	26	6
8.......4..........5..1..7.....9...............9...8..291...456.........5.4...1.7	2	SIMPLE	34	2	21	1	25	1	22	1	24	1	25	1	24	1	27	3	23	1	29	3
8.......4..........5..1..7.....9...............9...8..291...456.........5.4...1.7	2	FAST_100_1_60_10	34	2	21	1	25	1	22	1	24	1	25	1	24	1	27	3	23	1	29	3
8.......4..........5..1..7.....9...............9...8..291...456.........5.4...1.7	2	FAST_75_2_40_0	34	2	21	1	25	1	22	1	24	1	25	1	24	1	27	3	23	1	29	3
8.......4..........5..1..7.....9...............9...8..291...456.........5.4...1.7	2	FAST_50_2_30_0	34	2	21	1	25	1	22	1	24	1	25	1	24	1	27	3	23	1	29	3
8.......4..........5..1..7.....9...............9...8..291...456.........5.4...1.7	2	FAST_40_2_25_0	34	2	21	1	25	1	22	1	24	1	25	1	24	1	27	3	23	1	29	3
.3..5..6....1.7............4.9...7.2.........7.5...6.1............2.4....5..1..3.	0	SIMPLE	51	0	53	0	149	0	79	0	371	0	53	0	69	0	29	0	61	0	68	0
.3..5..6....1.7............4.9...7.2.........7.5...6.1............2.4....5..1..3.	0	FAST_100_1_60_10	51	0	53	0	211	0	47	0	146	0	480	0	57	0	84	0	55	0	353	0
.3..5..6....1.7............4.9...7.2.........7.5...6.1............2.4....5..1..3.	0	FAST_75_2_40_0	83	0	89	0	87	0	121	0	37	0	29	0	127	0	155	0	151	0	160	0
.3..5..6....1.7............4.9...7.2.........7.5...6.1............2.4....5..1..3.	0	FAST_50_2_30_0	83	0	89	0	87	0	121	0	37	0	29	0	127	0	155	0	151	0	160	0
.3..5..6....1.7............4.9...7.2.........7.5...6.1............2.4....5..1..3.	0	FAST_40_2_25_0	83	0	89	0	87	0	121	0	37	0	29	0	127	0	155	0	151	0	160	0
.........42.....59.95...43............2...6............43...91.67.....48.........	2	SIMPLE	75	2	29	1	25	1	25	1	28	3	22	2	20	1	25	1	26	2	23	1
.........42.....59.95...43............2...6............43...91.67.....48.........	2	FAST_100_1_60_10	75	2	29	1	25	1	25	1	28	3	22	2	20	1	25	1	26	2	23	1
.........42.....59.95...43............2...6............43...91.67.....48.........	2	FAST_75_2_40_0	71	1	23	1	28	2	26	3	26	1	25	1	26	3	28	1	25	1	24	1
.........42.....59.95...43............2...6............43...91.67.....48.........	2	FAST_50_2_30_0	71	1	23	1	28	2	26	3	26	1	25	1	26	3	28	1	25	1	24	1
.........42.....59.95...43............2...6............43...91.67.....48.........	2	FAST_40_2_25_0	71	1	23	1	28	2	26	3	26	1	25	1	26	3	28	1	25	1	24	1
.275.........81....9...........467.........59....9....9......38.13.............6.	2	SIMPLE	38	3	19	1	17	2	19	2	17	1	19	2	20	3	18	3	15	1	13	1
.275.........81....9...........467.........59....9....9......38.13.............6.	2	FAST_100_1_60_10	38	3	19	1	17	2	19	2	17	1	19	2	20	3	18	3	15	1	13	1
.275.........81....9...........467.........59....9....9......38.13.............6.	2	FAST_75_2_40_0	38	3	19	1	17	2	19	2	17	1	19	2	20	3	18	3	15	1	13	1
.275.........81....9...........467.........59....9....9......38.13.............6.	2	FAST_50_2_30_0	38	3	19	1	17	2	19	2	17	1	19	2	20	3	18	3	15	1	13	1
.275.........81....9...........467.........59....9....9......38.13.............6.	2	FAST_40_2_25_0	38	3	19	1	17	2	19	2	17	1	19	2	20	3	18	3	15	1	13	1
..........6.....8...81732....6...4....9...1....3...9....57683...8.....2..........	2	SIMPLE	35	4	23	2	22	2	22	1	20	3	20	1	25	1	49	1	18	1	28	3
..........6.....8...81732....6...4....9...1....3...9....57683...8.....2..........	2	FAST_100_1_60_10	35	4	23	2	22	2	22	1	20	3	20	1	25	1	49	1	18	1	28	3
..........6.....8...81732....6...4....9...1....3...9....57683...8.....2..........	2	FAST_75_2_40_0	35	4	23	2	22	2	22	1	20	3	20	1	25	1	49	1	18	1	28	3
..........6.....8...81732....6...4....9...1....3...9....57683...8.....2..........	2	FAST_50_2_30_0	35	4	23	2	22	2	22	1	20	3	20	1	25	1	49	1	18	1	28	3
..........6.....8...81732....6...4....9...1....3...9....57683...8.....2..........	2	FAST_40_2_25_0	35	4	23	2	22	2	22	1	20	3	20	1	25	1	49	1	18	1	28	3
........7....5.2...7..6...4.95...4..4..2...........7.2.8...............8...9...1.	0	SIMPLE	13104	0	21	0	137	0	21	0	8202	0	13693	0	137	0	21	0	10276	0	45	0
........7....5.2...7..6...4.95...4..4..2...........7.2.8...............8...9...1.	0	FAST_100_1_60_10	496	0	1940	0	218	0	1244	0	122	0	284	0	68	0	468	0	468	0	456	0
........7....5.2...7..6...4.95...4..4..2...........7.2.8...............8...9...1.	0	FAST_75_2_40_0	1700	0	39	0	45	0	21	0	10174	0	72	0	33	0	72	0	12996	0	72	0
........7....5.2...7..6...4.95...4..4..2...........7.2.8...............8...9...1.	0	FAST_50_2_30_0	1700	0	39	0	45	0	21	0	10174	0	72	0	33	0	72	0	12996	0	72	0
........7....5.2...7..6...4.95...4..4..2...........7.2.8...............8...9...1.	0	FAST_40_2_25_0	1700	0	39	0	45	0	21	0	10174	0	72	0	33	0	72	0	12996	0	72	0
.84.1....3..5....11.....8...3..81...8..2....7...9.......7................9..5....	2	SIMPLE	76	3	24	2	25	1	25	6	22	1	27	2	18	1	25	2	22	1	21	4
.84.1....3..5....11.....8...3..81...8..2....7...9.......7................9..5....	2	FAST_100_1_60_10	76	3	24	2	25	1	25	6	22	1	27	2	18	1	25	2	22	1	21	4
.84.1....3..5....11.....8...3..81...8..2....7...9.......7................9..5....	2	FAST_75_2_40_0	75	1	22	1	20	1	21	1	20	6	27	1	21	1	21	1	21	1	21	1
.84.1....3..5....11.....8...3..81...8..2....7...9.......7................9..5....	2	FAST_50_2_30_0	75	1	22	1	20	1	21	1	20	6	27	1	21	1	21	1	21	1	21	1
.84.1....3..5....11.....8...3..81...8..2....7...9.......7................9..5....	2	FAST_40_2_25_0	75	1	22	1	20	1	21	1	20	6	27	1	21	1	21	1	21	1	21	1
..2...3.......................................1.2.9.4.57..3..16.........9.68.54.7	2	SIMPLE	35	1	24	1	29	1	27	2	24	1	24	1	28	1	22	1	23	1	26	2
..2...3.......................................1.2.9.4.57..3..16.........9.68.54.7	2	FAST_100_1_60_10	35	1	24	1	29	1	27	2	24	1	24	1	28	1	22	1	23	1	26	2
..2...3.......................................1.2.9.4.57..3..16.........9.68.54.7	2	FAST_75_2_40_0	35	1	24	1	29	1	27	2	24	1	24	1	28	1	22	1	23	1	26	2
..2...3.......................................1.2.9.4.57..3..16.........9.68.54.7	2	FAST_50_2_30_0	35	1	24	1	29	1	27	2	24	1	24	1	28	1	22	1	23	1	26	2
..2...3.......................................1.2.9.4.57..3..16.........9.68.54.7	2	FAST_40_2_25_0	35	1	24	1	29	1	27	2	24	1	24	1	28	1	22	1	23	1	26	2
.....47.1..............7..9.......23........85.2......9......4....4..1..2.685....	2	SIMPLE	116	1	20	3	24	1	21	1	22	1	23	1	23	1	25	1	22	1	21	1
.....47.1..............7..9.......23........85.2......9......4....4..1..2.685....	2	FAST_100_1_60_10	118	2	24	2	24	2	19	2	26	1	21	1	19	2	18	3	22	1	21	3
.....47.1..............7..9.......23........85.2......9......4....4..1..2.685....	2	FAST_75_2_40_0	73	2	24	5	27	4	28	2	24	1	26	1	23	2	23	4	25	1	22	2
.....47.1..............7..9.......23........85.2......9......4....4..1..2.685....	2	FAST_50_2_30_0	73	2	24	5	27	4	28	2	24	1	26	1	23	2	23	4	25	1	22	2
.....47.1..............7..9.......23........85.2......9......4....4..1..2.685....	2	FAST_40_2_25_0	73	2	24	5	27	4	28	2	24	1	26	1	23	2	23	4	25	1	22	2
.69............48.......5...9.3..6......8....8..2..9.....1...69.......3....9.....	2	SIMPLE	36	3	21	1	21	2	23	1	25	2	25	2	20	1	19	2	28	1	25	1
.69............48.......5...9.3..6......8....8..2..9.....1...69.......3....9.....	2	FAST_100_1_60_10	36	3	21	1	21	2	23	1	25	2	25	2	20	1	19	2	28	1	25	1
.69............48.......5...9.3..6......8....8..2..9.....1...69.......3....9.....	2	FAST_75_2_40_0	36	3	21	1	21	2	23	1	25	2	25	2	20	1	19	2	28	1	25	1
.69............48.......5...9.3..6......8....8..2..9.....1...69.......3....9.....	2	FAST_50_2_30_0	36	3	21	1	21	2	23	1	25	2	25	2	20	1	19	2	28	1	25	1
.69............48.......5...9.3..6......8....8..2..9.....1...69.......3....9.....	2	FAST_40_2_25_0	36	3	21	1	21	2	23	1	25	2	25	2	20	1	19	2	28	1	25	1
.......2.................8.....7...99....1....57.......2...8657..53....4........2	2	SIMPLE	48	1	25	2	25	2	24	1	27	1	26	1	26	1	27	1	25	3	23	1
