...1..........2...67..45.........3..........2...35..899..........6.......54...82.	2	UNIT	33	1	27	2	23	1	23	1	32	1	26	4	22	4	22	1	25	2	24	1
.47...........9.....2...41.........8..6.7.2..9.........24...9.....8...........37.	2	UNIT	36	1	33	8	16	1	22	1	17	1	18	1	23	3	22	1	23	3	20	1
.3...8..995.......8.............3..63.......52..6.............3.......175..7...4.	2	UNIT	37	3	20	1	26	2	22	2	30	2	29	1	24	1	24	1	29	1	24	1
...........1...8..4.......6.62...73.7.......98.......1..9...1..2.......4.8.....7.	2	UNIT	38	1	23	3	18	1	18	1	22	1	27	1	30	2	25	3	22	1	26	1
7..4.2..89.......2..8...3....9...6.............7...2....4...5..3.......46..3.1..9	2	LOCATION	33	1	24	1	18	1	23	1	21	1	20	1	20	1	22	1	28	1	24	1
7..4.2..89.......2..8...3....9...6.............7...2....4...5..3.......46..3.1..9	2	ALL	37	1	23	1	21	1	23	2	25	2	18	1	22	2	21	1	18	1	22	1
1.......9..6...5.....4.3.....15.49....93.27....3...6..4.......2..................	2	LOCATION	43	2	24	1	18	1	19	2	25	1	23	1	19	1	21	2	22	1	21	2
.....2.....7.............32.7.2...1.5..7..29.......6.....3..8...3..........6.4...	2	LOCATION	40	6	26	1	24	2	25	1	20	1	24	2	26	1	24	1	27	3	27	2
....768..4.9.1.6...........2......761..2.9.4...........134......8.6..1.9.........	2	UNIT	76	3	14	1	20	1	13	2	16	4	13	5	12	1	9	1	15	8	14	4
.2.....9..6..2..7.....1.......5.3.......8.......4.6.......4.....1..3..4..7.....3.	2	UNIT	34	3	31	5	28	1	26	1	31	1	26	1	28	1	27	1	28	1	30	1
.9.1...2.......49........3..3.....4.1.......8.4.....5..2........86.......1...5.6.	2	ALL	35	1	25	1	22	4	22	1	25	1	22	1	22	1	24	1	26	1	25	1
...................1.4.5.8.8..5.2..1.........4263.1895...1.4.....................	2	UNIT	33	1	30	1	29	1	30	1	30	1	31	1	32	2	31	1	33	1	33	3
..1.4.7...........4.......9...................1.3.9.5.1..4.3..53.......68.......7	2	UNIT	41	8	26	1	27	1	29	2	27	1	29	2	26	1	28	1	28	1	29	2
.........2.9.3.6.5...........6...5.....891.....8...1...........8.1.5.4.7.........	2	ALL	36	4	29	1	27	2	29	1	25	1	27	2	27	2	29	3	28	1	26	1
12........3.......46.............26.....138..2...4....94............27......7....	2	LOCATION	80	1	83	2	22	2	22	2	65	1	30	1	45	2	76	4	21	1	24	3
..43.6.9...94........8.9.....8.....................3.....1.2........41...5.6.79..	2	LOCATION	36	2	25	1	27	2	28	1	22	1	27	2	24	1	23	1	26	3	32	1
.72.6.34............41.95...............7...............39.18............87.4.91.	2	UNIT	49	2	26	4	22	1	23	2	27	1	17	1	22	2	22	2	21	3	26	3
....3.................................1...9.............7...6..9..1.6..85264.7319	2	ALL	34	1	31	1	32	1	32	2	32	1	30	3	30	1	31	3	40	6	29	3
.76...35.35....1.2..9.....6......521........................2..5..9..6..218.....3	0	UNIT	90	0	164	0	6	0	2	0	80	0	6	0	46	0	2	0	194	0	2	0
