....1.......2.3....3.6.7.9....4.5...............1.6....7.9.4.6....7.1.......5....	2	UNIT	47	17	26	1	21	1	25	2	29	3	25	2	25	2	26	2	25	1	30	2
...8.5............3.......7..........7.....8....3.4...46.591.72.........7.......5	2	UNIT	33	1	22	2	23	2	28	1	27	1	28	1	23	1	24	1	24	1	24	1
..83.59....................7.......6.83...14...9...7.....4.1....7.....3..9.....1.	2	UNIT	42	3	21	1	26	1	24	1	23	2	23	2	29	7	33	2	22	2	23	2
.9.....7....9.4......1.2............4.68.79.1...4.5............13.....64.........	2	LOCATION	130	1	21	4	23	2	36	2	21	2	22	1	23	1	53	1	18	1	68	1
......6......6.1..............2..7..8..6.9..5.5.............25....5..4.6..18.....	2	LOCATION	34	2	23	1	23	1	24	2	24	1	24	1	20	3	23	1	22	2	21	1
9.......1.2.5.6.3.8..1.7..5...6.5.....9...3.....8.3.............7.....2..........	0	LOCATION	58	0	65	0	183	0	3	0	29	0	124	0	23	0	177	0	3	0	75	0
9.......1.2.5.6.3.8..1.7..5...6.5.....9...3.....8.3.............7.....2..........	0	ALL	244	0	76	0	2	0	654	0	2	0	820	0	880	0	34	0	8	0	24	0
5.......1..7...2...............................5...6..2.6...3.9..8...1..35..2..86	2	UNIT	33	6	31	2	31	2	32	1	31	1	28	1	28	2	27	2	27	1	32	5
43..7..12...9.6....5.....6.............................6.....8....5.8...24..1..53	2	LOCATION	89	2	20	1	19	1	24	1	23	1	22	2	34	3	19	3	156	2	23	1
43..7..12...9.6....5.....6.............................6.....8....5.8...24..1..53	2	ALL	658	1	21	1	1224	3	22	1	24	2	1168	1	24	1	713	1	22	2	537	1
9.....1.....2.......27..5..2..8...........2..7....19.....4..3..8........5..9....1	2	UNIT	38	10	23	1	20	1	22	1	24	1	22	1	25	1	27	3	22	2	22	1
...........1...7.....9.8......8.1..............2...4..27.....433..592..7.........	2	ALL	40	1	22	1	24	1	27	1	26	2	22	1	23	1	29	2	28	1	22	1
9...35....5...4....1.2..........6..75...............2..3.....14.89..............3	2	ALL	39	5	26	1	25	1	25	4	26	1	20	1	22	2	25	3	21	1	28	1
..31.28...1..7..2............8...4.....9.5.....7...1............7..1..5...62.39..	2	LOCATION	116	1	18	1	18	3	19	1	18	2	17	6	13	1	13	2	17	1	12	1
1.......4.36.5.79...9...3...............................3...9...71.4.85.2.......1	2	UNIT	33	2	27	1	24	1	23	2	23	1	23	1	21	1	19	1	23	2	24	1
.6..9......4.6......285....3.......1.........1.......3....264......4.5......3..8.	2	ALL	36	4	20	1	23	1	22	1	20	3	20	1	19	1	19	1	23	1	18	1
..................1.......67..5.2..9.........6..9.7..29.......45.......8...793...	2	UNIT	33	3	30	2	26	2	27	1	27	1	29	3	22	1	30	1	30	1	32	1
...3.2.9.....7.......49.....9....7.8.......2.......36.2.6.8.....1.......84.......	2	UNIT	38	17	25	1	22	1	24	5	26	2	29	1	22	1	27	1	24	1	25	1
9......7......7..................84....3..961...8..5.7.91....3.....5..9..........	2	UNIT	34	1	29	2	31	1	31	1	29	2	36	3	29	1	28	1	33	2	28	1
